HASH,num partitions,bug references,message
ef120484ecf0721153617d10170fbb496a0ea9db,,,Style issues. Remark: many of these rules lack i18n.
1fe7423c4c7b5034a681d7891b798b4fd2b6b3ed,,,Style issues. Privatized stuff. Did some i18n.
43c7856b905b9d5d9aac06c05ae15760dbd3495a,,,Style issues. The simplest way to get rid of the checkstyle warnings. The final solution will depend on issue 2175.
ecfc11860c69c6bcaba0ba2901118781e3a180b7,,,Issue 2086: The list of global actions is now only allowed to contain UMLAction's.Style issues.
dec92540676f567255e4458a16195ad58c3cf1f5,3,"2816, 2817, 2818","Fixes for issues 2816, 2817, 2818 (Import+Generation of Java constructors)"
c42b01ca2317c8663bbc00c1bd6cea0e75c86c9a,2,2862,fixed issue #2862 and finished task #2859
968263e794e1c5fd8fc7afaeb72c43b2ef3c87dd,,,The change as requested by Thomas Aschauer. See http://argouml.tigris.org/servlets/ReadMsg?list=dev&msgNo=17033Some style issues.
4309543e5432ad338cb860109796bb07ff230fbc,,,Style issue: made function fit within 150 lines.
58c24ed80bb783271d76dba8a3cf12e6ada53e69,,,Preparation for issue 2249: cleaned up deprecated stuff.
278c90eccc7fbb063daa4f664707a112fca3808d,,,Added a View XML function as suggested in issue 751.Some style issues.
82b0bf8d86ae24eec7e76128d1286267358f5abf,5," 2493, 2880, 2881, 2883, 2909","Solved issues 2493, 2880, 2881, 2883, 2909: Indirect deletion of diagrams."
a3fd46eb6da0c46bb45977c13d6bd17db3146fc9,5," 2493, 2880, 2881, 2883, 2909","Solved issues 2493, 2880, 2881, 2883, 2909: Indirect deletion of diagrams."
b7a6765b5e8c35210bae7a749c728784dd6dfc58,,,"Another test for the solved issues 2493, 2880, 2881, 2883, 2909: Indirect deletion of diagrams."
68c65d360c07cb39c6b36acb616efb6dfeb4558b,,,"In my enthousiasm to solve issue 1766, I disabled ""Remove from Diagram"" for comment-links and comments, while it should have been for comment-links only.Corrected this. Added ""Add to Diagram"" to the explorer popup for comments (not for comment-links), and made it work, so that the comment-links get added automatically.In the meanwhile, I did a cleanup of the explorer popup menus: better sorting, removed useless ""Properties"" item."
f6f3560e732c9892588663c7d07e7e6ac2cd22c1,,,"Undid the changes for issue 2288. This solves issue 3045. This resolves some unittest errors, too..."
0c89e787a620afea2606db35581c19f85dd7da8c,2,3041,Issue 3041 and issue 2576: Submachine states and stubstates.Code supplied by Jos̩.
3b073436ade6f9347f243e96e50abc37d26da175,2,"3050, 3024",Corrected the solution for issue 3050. Solved 3024.I did not yet realize that the collaboration EQUALS the namespace for the collaboration diagram.
8b39f806d00d6abef2e2cb3c9f7acc3081129581,,,"Fixed issue 1589: The namespace variables for the graphmodels were inconsistent. They are now refactored up into UMLMutableGraphModeSupport. Additionally, I renamed the ""namespace"" of the diagram to its original name: ""home model"". Which is better in case of a collaboration and state/activity."
eb935c99efb2c87a47ec74281f8ceeb59c504a2a,3,"3149, 3150","Patch by Daniele Tamino for issue 3149, 3086 and 3150.His comments are in issue 3149."
4a5782d53a3a9b87580038a3a283d410eca6b409,,,"Preliminary solution to issue 1843: Drag items from the explorer into the diagram.Some remaining bugs:- the cursor remains a ""noDrop"".- adding edges gives exceptions now and then.- nodes end all up in the top left hand corner, stacked on top of each other."
31e50adbe23cd999023e57f2ad26e70417090505,,,"Fixed issue 3333. Corrected some typos, and switched on wordwrap for the wizard instructions text. Changed the button text from ""Next"" to ""Next>"", since this is the indication used in all the critics texts."
e4fcb2457cf327d23fa69ab9d44d3fc741e1020a,,,"Fixed issue 3207: ""Edges do not stick to package bounds"". Besides for a Package, also solved for Junction, MNode, MNodeInstance. Moved the 3D part of the MNode into the bounds. Various style issues."
ccaedf60c699ac5468a7a996d4dd7ebb9052c82c,,,More improvements of the solution for issue 3371.Some preparation for saving the last path selected in the chooser.
ae9c1bee5ebb578d9f6e17813cd16ae4fb70c1c9,2,,"implement signals and timexpressions for eventsIssue number:  3374, 3373Obtained from:Submitted by:Reviewed by:CVS: ----------------------------------------------------------------------CVS: Issue number:CVS:   If this change addresses one or more issues,CVS:   then enter the issue number(s) here.CVS: Obtained from:CVS:   If this change has been taken from another system,CVS:   then name the system in this line, otherwise delete it.CVS: Submitted by:CVS:   If this code has been contributed to the project by someone else; i.e.,CVS:   they sent us a patch or a set of diffs, then include their name/emailCVS:   address here. If this is your work then delete this line.CVS: Reviewed by:CVS:   If we are doing pre-commit code reviews and someone else hasCVS:   reviewed your changes, include their name(s) here.CVS:   If you have not had it reviewed then delete this line."
6517986dd8ca783f3e11bcb08e330c3ef84d1d4b,,,Remove the test from the suite (Issue 3538).Style issues.
51b9fcf8756527b118eefed809e4445100d8ebd0,2,"3651, 3661","Issue number:  3651 & 3661 - rebuild model on add/remove, use getUMLClass instead of getClass"
f446023e887bf8ab1e2b4cf801e1ce5b4cc3f26a,4,"3514, 3592, 3710, 3726","Issue number:  3514, 3592, 3710, 3726 - catch attempts to access deleted model elements"
950fbe1db4960d8c6a00ff57548008885bfa66d7,2,3434,Fix for issue 3434 and 3637 from Michael MacDonald
4cb0b936ece627a3e0430bc89ea538d439eb8dac,2,"3772, 3780",Issue 3772 & 3780: Make this more readable and debuggable.
edc23a1900967fdeb2fd5526ca9847ef8b234b9c,2,"3772, 3614",Issue 3772 and issue 3614. Handle invalid namespace by adding it to the combo anyhow.
0d0b7ad79ff3ed3a64a715e32dca831297e69542,,,"Issue number:  3516Add method readModels(Project, Inputsource), registerDiagrams(Project) and support methods.Add field elementsRead which contain the elements reads and accessors."
76dda80466eb828d081613024ab8011c6538eeaf,2,3850,"Issue number:  3850, 3846 - fix get/setModelElementContainer and uses"
8f20a10d323a3fcde4bd634b67b0af76850aa05e,2,3857,"Issue number:  3857, 3640 - add new TagDefinition button, remove NSUML conditional code"
d76f3b1842766bcf442c27510762f463e58cad34,2,"3929, 3934","Issues number: 3929, 3934  - Add config option for profile.  Fall back to default profile if we fail to open it.  Fix NPE when profile is in current directory."
a32a2db44ef64cb1361b456cfc1a7a07ef2cabdb,,,Fix for issue 3164: The body of a state now refreshes when any of the modelelement change. This requires many lines of code...
8774a4c0791ad331ba385a8c65fc7a2f8e42ced8,2,"3718, 4102","Issue number:  3718, 4102 - Save all top level model elements.  Delete model data from MDR when project is removed."
b18333e34c8b4f3f52497676336e3fe53682fbc0,2,"3718, 4098","Issue number:  3718, 4098Change handling of unexpected model configurations from write to read and return to just writing out a single model.Keep xmi.ids stable for read/write cycle.Make xmi.ids unique by assigning a UUID for the repository."
a84b9a18b4e010b08904754dfccd6aa47a790b22,,,"Issue 2225 for Statechart diagrams. Some new Go-Rules for the explorer to support this.Also re-introduced the old Composite-centric explorer perspective, now we have a good function in the model subsystem to support this. This perspective is good for model exploring for us developers!"
476fc1579859e3a357e49d0f343fb2cde5c4ccc4,,,Issue 2325: Remove UMLAction for 2 more Actions.Also added a delete concurrent region button to its proppanel.
d83554ed1a74b2dcff8049018f5493cef547b193,2,"4110, 158","Issue number:  4110, 4158 - Keep expressions from being reused in multiple model elements"
6fb3e161c13b3af7050e030a19bf5cef88aec896,,,Issue number:  4173 - Handle deleting a model element while in edit mode of on the tagged values pane.Also clean up tagged values handling to separate model from view.
cd54ccf8fa7350dc0c97a23d36000a0a8782ce75,,,Fixed issue 2144 and 2145: Allow operations and attributes on usecases.BTW: I do not think we need to add tools for operations & attributes to the diagram toolbar: let's not overpopulate it.
721cc49ee6166c44e0ed23b7cd6fbda2c93fc662,,,Fix issue 4186: Show the clarifiers on edes.Also enable the rerouting of edges by dragging ends to a new node.
ae4dc3b383fe09e0a50e6dd0d540dc973ec72904,2,,"Improvements according issue 3198.Also, issue 1207: get rid of one more direct call to Notation.generate()."
247d4c5cf82aa1adc3f490c957ae41a0496a768f,2,3140,"Many improvements for issue 1113.Issue 3140: Done by disabling and deprecation.Removed the ""Use only UML notation"" setting.Support for storing settings in .uml files."
e5734522a2cb096aa2b2799ab5e4210f300147e8,,,Issue number:  4271 - Handle exception when deleting comment edge.  Clean up style issues.
4c97718a45cc2acaa8740a7a0109c34b283a6e28,,,Issue number:  4269 - More fixes for missing error logging on exceptions.
0621e83684b3249b14d15d0ed4faef1ccb420719,2,,"Issue number:  4247, 3278- Add testmodels directory as a ""source"" directory so that models get copied to the output directory on the classpath where the test looks for it.- revert changes from issue 3278 which were causing test to fail"
dad43f4838e2bbec05baa8f5142a5436d89dddb8,3,,"Further Notation improvements, according the architecture agreed with Bob.See issue 1207, 4069 and 4508."
ee774c2335cc80675766cc3c265e6af12b9ae840,3,,"Further Notation improvements, according the architecture agreed with Bob.See issue 1207, 4069 and 4508."
4d1fcb7c2b70a06c9d7eac36f77899b3003dd1e4,,,Issue 4553 - Restore GUI panel configuration.Also moved test code out of line.
9a087257c6a09c08e4252d4420466123a4864808,2,"4394, 4015",Issue 4394 & 4015: Create a proppanel for a ElementImport & ElementResidence.Still a few problems remain...
e5f43eda19ada67119dd1a2adb36330cc1ddf633,2,"4394, 4015",Issue 4394 & 4015: Create a proppanel for a ElementImport & ElementResidence.Still a few problems remain...
df5c6c82ea25847cb608ff666dd213d0d4ecdf87,2,"4729, 4674",Hack to work round issue 4729 and issue 4674
851aa6acd9b2c80a2aa8c88ae7063891a9c2d147,2,1288,Fix for issue 1288 and 1972: Allow persistent diagram element font type and size setting per project + system default.
7f260e912005526f75114274b419e08ed584cbe9,2,"4752, 4952",As discussed on the dev list: ArgouML shall initialise the Gui BEFORE the Modules are initialised.See also issue 4752 and issue 4952.
cba826d354e1f847be7e7d658dcbc55821145287,,,issue 4946: solved part of the problem with user defined profiles; added some launch configurations to facilitate tests in eclipse
ac83106e7c7f2624d5f764f153bb18432088ecb2,,,issue 4946: solved part of the problem with user defined profiles; added some launch configurations to facilitate tests in eclipse
521fcfe892e14c9e87bea23cbf2610182efb6096,,,"Issue 4294: Added src/app/build.xml command to copy .ico files into build directory.Added new ArgoUMLdoc.ico, an icon suitable for argouml project files."
dfc514c810ae757d12fa9ee76c1b8681a811b323,,,Issue 4625: Removed some unused build.<xml|sh|bat> files.  Updated a comment.
7a5e1f305f0818d478c49dab1aca6e149cf84161,,,"Corrected help-text for ComponentInstance: Notation for ComponentInstance does not support stereotypes.Simplified the notation of FigComponentInstance.Made the name of a new ComponentInstance underlined.Comments, generics, style.Issue 4903 only solved when a new ComponentInstance is drawn, not after loading."
1eb03ac5cada46ec4eea95d55426ea3815d321c6,,,Issue 4946 - throw an exception if profile can't be resolved. Also includes Luis' patch (unused) to create a UserDefinedProfile from the XMI in the current project.
9cc3ce51a5c0c1f35508f25cd094adbfe3ede9b0,,,Issue 5123: Enhance import settings API to handle additional types.Remove Swing-specific hack from Java importer.Remove all Java-specific settings from common importer framework and move to Java/classfile importers.Switch source file character encoding selector to combobox instead of free form text.
e1acf7d34187525154f3e6a79599cd4ed4486d56,,,Issue 5160: Allow room for stereotype when computing ellipse bounds.  Remove calcBounds() kludge.
4547ad1b31a623729b01ffff72ad9ae04d432698,,,Add Michiels suggestion to space nodes. Fix selection and some general tidy up.Issue 5193
6cf46e1e5ab30c7fc4e821c8a5eabcbde826af08,2,4992,issues #4992 and #3771: updates to ArgoUML manual related to the introduction of the profile subsystem
a8756118d936050f3540a13b70508db1f3abbc9f,,,"Fix for issue 5356: Save All Graphics: Add a ""Yes to All"" button. Make the operation cancellable by adding a cancel button. Closing the dialog also cancels. Replace the wording ""Yes"" by ""Overwrite"". Resolved a TODO: this action is not undoable."
401481025642c7b411654936fe109d8915aa15d4,2,"5443, 5462",Fix for showing the crosshair mouse cursor for issue 5443 and issue 5462.
0356ca73819b23377e70551ca6e41ef85ba11a3e,2,,Issue 1048 & 5517: Fix auto label placement algorithm and provide support manual overrides
a9ffe17064b50c85cfad6efe02f05f39a0a943ae,,,"Remove unnecessary code. This fixes issue 5497: ""Class that shows stereotype grows on notation event""."
3605189f6d462171c3fdc4c5ff6dfdbd3c55e7e6,,,Issue 4814: Add API basics to support multiple open projects.  Remove old deprecated methodshttp://argouml.tigris.org/issues/show_bug.cgi?id=4814
12836507b0a6bd30d0d95ebff92222099f07cf9e,,,Issue 5517: Increased intensity of path item line and shaded box to make them more obvious.  Also removed some redundant code.
b1de8d901557807d4738455149fea46962cf01a8,,,Issue 5542: Fix constructors so they match again.  Add more copies of the warning to make it harder to miss.
a585dc357f1f1aab5cf6881699921f5e4d58ca0b,2,"5500, 5598",Fix for issue 5500 for ClassifierRole (new constructors).Fix for issue 5598: ClassifierRole grows when reloading. Fixed by the setLocation() call.
b601b9ec1e10c415434bad6ad6ad42535c2cc486,,,"Fix the failing test - I hope, since I can not test.There is no need to disallow any dependency from org.argouml.ui to org.argouml.moduleloader, since e.g. there is no dependency the other way.This problem was caused by commit 16584, which solved issue 5509: The AboutBox asks the Module loader about the modules."
6baaca3ce0211104d6ec2bbe1638d303c9c7ac67,2,"5969, 6008",issue 5969 and issue 6008: failing integration tests (with failure points commented-out) for both issues
2443756f271b84d73e193d4c1ca2a3254ef0eb9d,,,"There was a mistake concerning UMLClassName in tModelElement. The table couldn't be created with mySQL due to a misplaced parenthesis.New structure:CREATE TABLE tModelElement(uuid VARCHAR(50) NOT NULL,PRIMARY KEY(uuid),name VARCHAR(100),namespace INTEGER(5), # REFERENCES tNamespace(NamespaceId),stereotype INTEGER(5), # REFERENCES tStereotype(StereotypeId),PackageId INTEGER(5), # REFERENCES tPackage(PackageId),UMLClassName VARCHAR(100));Issue number:Obtained from:Submitted by:Reviewed by:"
c81b3f6b62948681e84ec5c083fe3539413151ed,5,"240, 284, 699","Issues: 240, 284, 425, 699, 1045Made ArgoUML use predecessor and activator to automatically calculatesequence numbers.Made the factory set predecessor and activator as good as possible.Made ""in diagram"" editing of messages on collaboration diagrams conformbetter to the UML specification.Made ""in diagram"" editing of messages on collaboration diagrams createoperations if the receiver is properly specified and has no operation by thatname with a proper number of parameters."
a8740c8b8c25cd6a9d04b390b8499178832a6d32,3,"1105, 1107, 1108",Patch to issues:110511071108
adbb0089fb96fa51f4b67b2272c2cd22b2062474,3,"1990, 1991, 1992","Fixes for issues 1990, 1991, 1992Making a new modelelement uses the build methods on the factories bydefault now if they are present. Otherwise the create methods(fix for issue 1990)SrcPathTableModel ans SourcePathDialog use the ModelFacade nowSame for ClassGenerationDialogThe select mechanism of ActionGenerateAll and and ActionGenerateOne use thetargetmanager now. It's now possible to generate classes that are not on thecurrent diagram as a side effect. (fix for issue 1991, 1992)"
36c67d07c1a061640914f4b305cd1c7a090f0241,,,Issue 2541: updating of triggers in the diagram - solved case 2 (see description in issue 2541).Solved some Checkstyle issues.
66391e663b55bd0fd03afcb3c8d2f4a6bd6fe39e, 13 ,"686,713,1187,1188,1761,1820,1835,2034,2159,2295,2427,2709,2710",Following issues should be solved with this commit:68671311871188176118201835203421592295242727092710
e2479d9b9abaa4ae94c4e34446619b3cca44bc6a,2,2750,"fix for exception logging in tabstyleremoved pluggable interface for prop panelsadded appropriate icon types for subsystem/modelchanged button for stereotypeIssue number:  2751, 2750Obtained from:Submitted by:Reviewed by:"
4a558bf488a557ee5e4dfeefb937200177d88267,,,Refactoring of the Model component Issue 2696.This part is making the Factory and Helper interfaces accessed from the Model class.Some style issues in affected files.
bff2374a21ba50930d5c01517a148d9eab969603,,,"Solved issue 2288. The code may need some cleaning up, and not everything works yet, but it is already better than the previous version - hence committed already."
884bc562173435fd690b9d972bf4a088c78aa929,,,issue #2940 - Argo's AbstractSection is now patched and therefore this local version is removed and replaced by Argo's.
4fb1b3dcbbb07e40fff37c38c8084a2b15894c13,,,"Made the combobox for the notation on the source tab work, in the way it was meant to work.A bit strange IMHO, but the selected notation is now remembered by each Fig.It also works good with Settings->UseOnlyUML and View->Notation selection.All this in preparation of issue 954."
654d8039d7e8e30500c2337a33ac93e6623ffdd6,2,3177,"Fixed issues 1833 & 3177:Refactored the TargetManager to obey the following rule:The list of targets shall not contain any Fig that has an owner. Instead, the owner is enlisted.This was needed since the TargetManager previously allowed both at the same time, through manipulations both in the explorer and in the diagram, which lead to problems when deselecting."
dc15b067799a03bc9f6e03db8b1fd4eb70b2b9c8,2,3182,"Added timestamp to log entries.Issue: 3201.Contributed by: Luis Sergio Oliveria.Alas because of the fix to 3182, I have not been able to verify that it works."
981f759aabf4548e37e154ad09c0ffb0be5c9f39,,,Preparation of issue 2225. This fixes issue 3814 also for a Collaborationsdiagram.
7f5f0cfbbe932dbf7aaa5a97513d8e8a7dd9eab1,2,"3664, 3666","Issue number:  3664, 3666Create diagrams not only for statemachines contained in the model but also for the statemachines contained in the xmi but outside the model.Set the namespace of the statemachines which are outside the model to their ""Context"". (this can be adjusted further in the GUI)."
1a72172f2122b521135b70e4f62f7bab91f75f6f,2,3686,"Issue number:  3686, 3700Don't set namespace for an ExtensionPoint (it's implied), eliminated cloned implementations, update Javadoc."
